鳥|鳥の巣; 野鳥|`tori` no `su`; `ya``chou`|bird's nest; wild bird|tori:鳥の巣;chou:野鳥
議|異議; 会議; 議論; 不思議; 議会; 審議; 争議; 協議; 村議会|`i``gi`; `kai``gi`; `gi``ron`; `fu``shi``gi`; `gi``kai`; `shin``gi`; `sou``gi`; `kyou``gi`; `son``gi``kai`|objection; meeting; argument, discussion, dispute; wonder, strange; congress, parliament, diet; deliberation; a dispute, a (work) strike; negotiation, conference, consultation; village assembly|gi:異議,会議,議論,不思議,議会,審議,争議,協議,村議会
冷|冷める; 冷たい; 冷静; 冷酷; 冷凍; 冷凍庫; 冷房; 冷蔵庫; 冷淡; 冷媒|`sa`meru; `tsume`tai; `rei``sei`; `rei``koku`; `rei``tou`; `rei``tou``ko`; `rei``bou`; `rei``zou``ko`; `rei``tan`; `rei``bai`|to cool down; cold; composed, calm; cruel, coldhearted, ruthless; freezing, cold storage, refrigeration; freezer; air conditioning, cooling; refrigerator; cool, cold, indifferent, apathetic; coolant|sa:冷める;tsume:冷たい;rei:冷静,冷酷,冷凍,冷凍庫,冷房,冷蔵庫,冷淡,冷媒
先|旅先; 先進国; 矢先; 先約; 先頭; 先登; 先週; 矛先; 優先; 先刻; 先祖|`tabi``saki`; `sen``shin``koku`; `ya``saki`; `sen``yaku`; `sen``tou`; `sen``tou`; `sen``shuu`; `hoko``saki`; `yuu``sen`; `sen``koku`; `sen``zo`|destination of a journey; advanced country, developed nation; the very moment (we did something), arrow tip; previous appointment; head, lead, vanguard; head, lead, vanguard (先頭 much more common); last week; point of a spear, focus/aim (of an attack/criticism); suru: to give priority to (something over another); just now, a short while ago; ancestors, forefathers|saki:旅先,矢先,矛先;sen:先進国,先約,先頭,先登,先週,優先,先刻,先祖
隣|隣; 近隣; 近隣諸国; 隣人; 隣接|tonari; `kin``rin`; `kin``rin``sho``koku`; `rin``jin`; `rin``setsu`|close; neighborhood, vicinity; neighoring countries; neighbor; adjacency, contiguity, being adjoined to|tonari:隣;rin:近隣,近隣諸国,隣人,隣接
諸|諸国; 近隣諸国; 諸君; 諸般; 諸説; 諸々|`sho``koku`; `kin``rin``sho``koku`; `sho``kun`; `sho``han`; `sho``setsu`; `moro`moro|various countries/states; neighoring countries; ladies and gentleman!; various, several; novel, short story; various, several (things, people, etc.)|sho:諸国,近隣諸国,諸君,諸般,諸説;moro:諸々
君|諸君; 君臨|`sho``kun`; `kun``rin`|ladies and gentleman!; reigning (over a country)|kun:諸君,君臨
勢|勢い; 情勢; 大勢; 威勢がいい; 勢力; 優勢; 国勢; 姿勢; 劣勢; 攻勢; 国勢調査|`ikio`i; `jou``sei`; `oo``zei`; `i``sei` ga ii; `sei``ryoku`; `yuu``sei`; `koku``sei`; `shi``sei`; `res``sei`; `kou``sei`; `koku``sei``chou``sa`|vigour; state of affairs; crowd, many people; cheerful, assertive; power/influence; superior, advantaged; condition of a country (e.g. for a census); attitude, posture, how one carry's themselves; disadvantaged, inferiority (e.g. in numbers), (反: 優勢); agression, offensive (movement); national census|ikio:勢い;sei:情勢,大勢,威勢がいい,勢力,優勢,国勢,姿勢,劣勢,攻勢,国勢調査
威|威勢がいい; 威張る; 権威; 威力; 脅威|`i``sei` ga ii; `i``ba`ru; `ken``i`; `i``ryoku`; `kyou``i`|cheerful, assertive; to be haughty, arrogant, bragging; authority, power, influence; power, might, authority; threat, menace|i:威勢がいい,威張る,権威,威力,脅威
徒|徒歩; 生徒; 信徒; 徒労|`to``ho`; `sei``to`; `shin``to`; `to``rou`|walking, going on foot; student; follower, believer; wasted effort, fruitless effort:|to:徒歩,生徒,信徒,徒労
散|散らす; 散る; 散歩; 分散; 散文; 解散; 散弾; 散策|`chi`rasu; `chi`ru; `san``po`; `bun``san`; `san``bun`; `kai``san`; `san``dan`; `san``saku`|scatter; fall (e.g. leaves); walk; dispersion (suru verb); prose; breakup, dissolution; buckshot; roaming, exploring, strolling around|chi:散らす,散る;san:散歩,分散,散文,解散,散弾,散策
張|威張る; 出張; 引っ張る; 張り切る; 張扇; 誇張; 踏ん張る; 主張|`i``ba`ru; `shuc``chou`; `hip``pa`ru; `ha`ri`ki`ru; `hari``sen`; `ko``chou`; `fu`n`ba`ru; `shu``chou`|to be haughty, arrogant, bragging; business trip, official tour; to hold back; to be in high spirits, enthusiastic; harisen fan thing; exaggeration; to press on; claim, insistence, assertion (e.g. I won the election!)|ha:威張る,引っ張る,張り切る,踏ん張る;chou:出張,誇張,主張;hari:張扇
引|引っ張る; 引退; 引っ越す; 取引; 引き換え; 割引; 差し引く|`hip``pa`ru; `in``tai`; `hi`k`ko`su; `tori``hiki`; `hi`ki`ka`e; `wari``biki`; `sa`shi`hi`ku|to hold back; retire; to move (house); dealings, transactions; exchange, conversion; discount; to deduct, to take away|hixtsu:引っ張る;in:引退;hi:引っ越す,引き換え,差し引く;hiki:取引,割引
切|張り切る; 踏切; 懇切; 一切; 区切る; 適切|`ha`ri`ki`ru; `fumi``kiri`; `kon``setsu`; `is``sai`; `ku``gi`ru; `teki``setsu`|to be in high spirits, enthusiastic; railway crossing; kind and careful (e.g. instructions), considerate, helpful, thoughtful; all, everything, when negated: without exception; to partition, divide, segment (land into different areas); appropriate, suitable, fitting|ki:張り切る,区切る;kiri:踏切;setsu:懇切,適切;sai:一切
築|建築; 新築; 改築; 築く; 築山|`ken``chiku`; `shin``chiku`; `kai``chiku`; `kizu`ku; `tsuki``yama`|construction, architecture (suru verb); new building, new construction (suru verb); reconstruction (of a building); to build, to amass/pile up; artificial hill|chiku:建築,新築,改築;kizu:築く;tsuki:築山
注|注釈; 注意; 注ぐ; 注目; 注文; 受注; 発注; 注力; 注射|`chuu``shaku`; `chuu``i`; `soso`gu; `chuu``moku`; `chuu``mon`; `ju``chuu`; `hac``chuu`; `chuu``ryoku`; `chuu``sha`|annotation, notes, comment; caution; to pour; attention; order, request; accepting an order, receiving an order; placing an order; to focus one's efforts (into a particular thing); a shot, an injection|chuu:注釈,注意,注目,注文,受注,発注,注力,注射;soso:注ぐ
釈|注釈|`chuu``shaku`|annotation, notes, comment|shaku:注釈
拓|拓本; 開拓|`taku``hon`; `kai``taku`|rubbed copy; reclamation, culivation, pioneering|taku:拓本,開拓
傷|傷; 負傷; 重傷; 火傷; 傷み; 傷ましい; 毀傷; 擦り傷; 致命傷|kizu; `fu``shou`; `juu``shou`; yakedo; `ita`mi; `ita`mashii; `ki``shou`; `su`ri`kizu`; `chi``mei``shou`|wound; injury (sury verb); serious wound; burns, scalding; pain; pitiful, hearbreaking, tragic; injury, damage; graze, scratch, scrape; fatal wound|kizu:傷,擦り傷;shou:負傷,重傷,毀傷,致命傷;yakedo:火傷;ita:傷み,傷ましい
負|負傷; 負ける; 負う; 勝負; 負債|`fu``shou`; `ma`keru; `o`u; `shou``bu`; `fu``sai`|injury (sury verb); to lose; to bear, to carry on one's back; match; debt, liabilities|fu:負傷,勝負,負債;ma:負ける;o:負う
火|火傷; 火口; 灯火; 噴火|yakedo; `ka``kou`; `tomoshi``bi` or `tou``ka`; `fun``ka`|burns, scalding; (volcanic) crater; light, lamplight, torch; eruption (volcano)|yakedo:火傷;ka:火口,灯火,噴火;bi:灯火
羊|羊毛; 羊; 山羊|`you``mou`; hitsuji; `ya``gi`|wool; sheep; goat|you:羊毛;hitsuji:羊;gi:山羊
毛|羊毛; 毛布; 羽毛; 産毛|`you``mou`; `mou``fu`; `u``mou`; `ubu``ge`|wool; blanket; feathers, plumage, down; soft hair like peach-fuzz|mou:羊毛,毛布,羽毛;ge:産毛
羽|羽毛; 羽目を外す|`u``mou`; `ha``me`wo`hazu`su|feathers, plumage, down; to go over the top, to act without restraint|u:羽毛;ha:羽目を外す
援|援助; 後援; 応援; 救援|`en``jo`; `kou``en`; `ou``en`; `kyuu``en`|assistance, aid; support, backing; support; rescue, relief|en:援助,後援,応援,救援
助|援助; 助ける; 助手; 助言; 救助; 補助; 助詞|`en``jo`; `tasu`keru; `jo``shu`; `jo``gen`; `kyuu``jo`; `ho``jo`; `jo``shi`|assistance, aid; help, save; assistant, helper; advice, tip; relief, aid, rescue; assistance, support, subsidy; japanese particles (e.g. は, を)|jo:援助,助手,助言,救助,補助,助詞;tasu:助ける
応|応援; 応じる; 反応; 相応; 相応しい; 相応; 相応しい; 対応; 適応; 因果応報|`ou``en`; `ou`jiru; `han``nou`; `sou``ou`; fusawashii; `sou``ou`; fusawashii; `tai``ou`; `teki``ou`; `in``ga``ou``hou`|support; to comply with, to respond; reaction, response; suitable; suitable; fitting, befitting; fitting, befitting; to coordinate; adaptation, accomodation; getting your just desserts (for your bad actions)|ou:応援,応じる,相応,対応,適応,因果応報;nou:反応;fusawashii:相応しい
救|救援; 救助; 救う|`kyuu``en`; `kyuu``jo`; `suku`u|rescue, relief; relief, aid, rescue; to save|kyuu:救援,救助;suku:救う
由|由緒; 由緒ある; 理由; 自由; 由来; 経由; 自由民主党|`yui``sho`; `yui``sho`aru; `ri``yuu`; `ji``yuu`; `yu``rai`; `kei``yu`; `ji``yuu` `min``shu` `tou`|pedigree, lineage, long history; prestigous; reason; freedome; source, origin; suru: to go by way of, via; Liberal Democratic Party|yui:由緒,由緒ある;yuu:理由,自由,自由民主党;yu:由来,経由
緒|由緒; 由緒ある; 一緒; 情緒|`yui``sho`; `yui``sho`aru; `is``sho`; `jou``cho`|pedigree, lineage, long history; prestigous; together; atmosphere, feeling, mood, emotion|sho:由緒,由緒ある,一緒;cho:情緒
列|列車; 行列; 並列; 陳列|`res``sha`; `gyou``retsu`; `hei``retsu`; `chin``retsu`|train; line, queue; running in parallel, lined up alongside (suru vb or no adj); exhibition, display|rextsu:列車;retsu:行列,並列,陳列
効|効果; 効く; 効力; 有効; 無効; 特効|`kou``ka`; `ki`ku; `kou``ryoku`; `yuu``kou`; `mu``kou`; `tok``kou`|efficacy, effect; to be effective/show effect; efficacy; effective, valid; ineffective, invalid; a strong/special effect|kou:効果,効力,有効,無効,特効;ki:効く
果|効果; 果実; 果たす; 果まで; 果物; 成果; 果樹; 結果; 釣果; 果敢; 因果; 因果応報|`kou``ka`; `ka``jitsu`; `ha`tasu; `hate`made; `kuda``mono`; `sei``ka`; `ka``ju`; `kek``ka`; `chou``ka`; `ka``kan`; `in``ga`; `in``ga``ou``hou`|efficacy, effect; fruit; to carry out; to the end; fruit; fruits (of one's labor), results, outcome; fruit tree; result, outcome; hooked fish, a catch; resolute, determined, bold; karma; getting your just desserts (for your bad actions)|ka:効果,果実,成果,果樹,結果,釣果,果敢,因果,因果応報;ha:果たす;hate:果まで;kuda:果物
畏|畏敬の念; 畏れる|`i``kei` no `nen`; `oso`reru|feelings of reverence/awe; to fear|i:畏敬の念;oso:畏れる
敬|畏敬の念; 敬う; 敬意; 敬具; 敬語; 崇敬; 敬遠; 尊敬|`i``kei` no `nen`; `uyama`u; `kei``i`; `kei``gu`; `kei``go`; `suu``kei`; `kei``en`; `son``kei`|feelings of reverence/awe; to respect/revere; respect, honor; Sincerely yours, (closing a letter); polite language; reverence; to (act respectful but) keep at a distance, baseball: intentionally walking the batter; suru: respect, revere, honor|kei:畏敬の念,敬意,敬具,敬語,崇敬,敬遠,尊敬;uyama:敬う
魅|魅力的|`mi``ryoku``teki`|charming, attractive|mi:魅力的
芝|芝; 芝生; 芝居|shiba; `shiba``fu`; `shiba``i`|lawn, tuff; lawn; play, acting|shiba:芝,芝生,芝居
混|混む; 混ぜる; 混じる; 混合; 混血; 混同; かき混ぜる; 混雑|`ko`mu; `ma`zeru; `ma`jiru; `kon``gou`; `kon``ketsu`; `kon``dou`; kaki`ma`zeru; `kon``zatsu`|to be crowded; to mix; to be mixed in with; mixture; mixed race; confuse (e.g. two things to be the same/mixed together); to mix together, to stir up; crowding, congestion, disorder|ko:混む;ma:混ぜる,混じる,かき混ぜる;kon:混合,混血,混同,混雑
腐|腐敗; 腐る; 豆腐; 陳腐; ふて腐れる|`fu``hai`; `kusa`ru; `tou``fu`; `chin``pu`; fute`kusa`reru|decay, rot, become corrupt; to rot/go bad; tofu; commonplace, trite, stale, hackneyed; to become sulky, to become irresponsible (due to disgruntlement)|fu:腐敗,豆腐,陳腐;kusa:腐る,ふて腐れる
敗|腐敗; 敗れる; 無敗; 敗戦; 勝敗; 敗因; 敗訴; 敗北; 敗走; 惨敗|`fu``hai`; `yabu`reru; `mu``hai`; `hai``sen`; `shou``hai`; `hai``in`; `hai``so`; `hai``boku`; `hai``sou`; `zan``pai`|decay, rot, become corrupt; to be defeated; undefeated; defeat; victory or defeat, outcome; cause of defeat; to lose a lawsuit/case; defeat; to rout (an enemy); a crushing defeat, ignominous defeat|hai:腐敗,無敗,敗戦,勝敗,敗因,敗訴,敗北,敗走,惨敗;yabu:敗れる
無|無敗; 無罪; 無洗米; 無料; 無稽; 荒唐無稽な; 無駄; 無効; 有無; 無視; 無作為; 無事; 遮二無二; 虚無; 無恥; 無礼; 無形; 無限; 名無しの権兵衛|`mu``hai`; `mu``zai`; `mu``sen``mai`; `mu``ryou`; `mu``kei`; `kou``tou``mu``kei`na; `mu``da`; `mu``kou`; `u``mu`; `mu``shi`; `mu``saku``i`; `bu``ji`; `sha``ni``mu``ni`; `kyo``mu`; `mu``chi`; `bu``rei`; `mu``kei`; `mu``gen`; `na``na`shino`gon``be``e`|undefeated; innocent; pre-washed rice, wash-free rice; free of charge; unfounded, unsupported, nonsense; preposterous, nonsensical, absurd; useless; ineffective, invalid; existence or nonexistence, presence or absence; ignore, disregard; at random, unintentional; one being well/unharmed (more literally: they weren't in an accident or anything unfortunate); desparately, recklessly, (rushing) headlong; nihility, nothingness; shameless; rudeness, insolence, discourtesy; formless, intangible; without limit, infinity; Mr. Nobody, John Doe|mu:無敗,無罪,無洗米,無料,無稽,荒唐無稽な,無駄,無効,有無,無視,無作為,遮二無二,虚無,無恥,無形,無限;bu:無事,無礼;na:名無しの権兵衛
豆|豆腐; 大豆; 納豆|`tou``fu`; `dai``zu`; `nat``tou`|tofu; soy bean; natto (fermented soybeans)|tou:豆腐,納豆;zu:大豆
飛|飛ぶ; 飛行機; 犠飛; 雄飛; 雌伏雄飛; 飛び交う|`to`bu; `hi``kou``ki`; `gi``hi`; `yuu``hi`; `shi``fuku``yuu``hi`; `to`bi`ka`u|fly; plane; sacrifice fly (baseball); launching out, embarking on something with great ambition; biding one's time building up strength till finally grasping an opportunity to launch out and flourish; flitting about, fluttering about|to:飛ぶ,飛び交う;hi:飛行機,犠飛,雄飛,雌伏雄飛
容|容積; 内容; 美容; 収容; 許容; 容認; 容疑; 容姿; 容態; 容易; 容易い; 美容院; 形容詞; 容貌|`you``seki`; `nai``you`; `bi``you`; `shuu``you`; `kyo``you`; `you``nin`; `you``gi`; `you``shi`; `you``dai`; `you``i`; `ta``yasu`i; `bi``you``in`; `kei``you``shi`; `you``bou`|volume, capacity; contents; beauty of form; accomodation, housing, seating; suru: permit, accept, pardon; approval; suspicion, charge; face and figure, appearance; condition, state (of health); easy, simple, plain; easy, simple; beauty parlor; adjective; looks, features, (personal) appearance|you:容積,内容,美容,収容,許容,容認,容疑,容姿,容態,容易,美容院,形容詞,容貌;ta:容易い
積|容積; 積もる; 積む; 積雪; 山積み; 積極的|`you``seki`; `tsu`moru; `tsu`mu; `seki``setsu`; `yama``du`mi; `sek``kyoku``teki`|volume, capacity; to pile up; to load/heap up; fallen snow; a huge pile; assertive, proactive|seki:容積,積雪;tsu:積もる,積む,山積み;sextsu:積極的
雪|積雪; 雪崩|`seki``setsu`; nadare|fallen snow; avalanche|setsu:積雪;nadare:雪崩
奮|奮発; 奮う; 奮起; 発奮|`fun``patsu`; `furu`u; `fun``ki`; `hap``pun`|to exert oneself, to splurge; to muster (e.g. one's courage), to call forth, to rouse up; stirring, rousing oneself; being roused, inspired, spurred on|fun:奮発,奮起,発奮;furu:奮う
辛|辛うじて; 辛い; 唐辛子|`karo`ujite; `kara`i; `tou``gara``shi`|barely, just manage to do something; spicy; capsicum, chilli pepper|karo:辛うじて;kara:辛い,唐辛子
痩|痩せ我慢; 痩せる|`ya`se`ga``man`; `ya`seru|strained endurance; to grow thin|ya:痩せ我慢,痩せる
我|痩せ我慢; 怪我|`ya`se`ga``man`; `ke``ga`|strained endurance; injury|ga:痩せ我慢,怪我
慢|痩せ我慢; 怠慢; 自慢|`ya`se`ga``man`; `tai``man`; `ji``man`|strained endurance; negligence, procrastination; boast, pride|man:痩せ我慢,怠慢,自慢
逓|逓減; 逓信|`tei``gen`; `tei``shin`|suru: decrease/diminish gradually/successively; communications (e.g. post, telegraph)|tei:逓減,逓信
減|逓減; 低減; 減る; 減少; 減税; 増減; 軽減; 加減; 手加減; 減免; 減衰|`tei``gen`; `tei``gen`; `he`ru; `gen``shou`; `gen``zei`; `zou``gen`; `kei``gen`; `ka``gen`; `te``ka``gen`; `gen``men`; `gen``sui`|suru: decrease/diminish gradually/successively; suru: decrease, reduce, deprecate, mitigate; to become less; decrease, reduction; tax reduction; increase and decrease, fluctuation; abatement, reduction; suru: adjust, regulate; holding back; reduction and exemption (e.g. taxes); attenuation, damping|gen:逓減,低減,減少,減税,増減,軽減,加減,手加減,減免,減衰;he:減る
低|低減; 低い; 低下; 低迷; 最低|`tei``gen`; `hiku`i; `tei``ka`; `tei``mei`; `sai``tei`|suru: decrease, reduce, deprecate, mitigate; short, low; suru: fall, decline, detoriorate; hovering low, hanging low (a price, the economy); the worst, the minimum|tei:低減,低下,低迷,最低;hiku:低い
少|減少; 希少; 希少価値|`gen``shou`; `ki``shou`; `ki``shou``ka``chi`|decrease, reduction; scarce, rare; scarcity value|shou:減少,希少,希少価値
蓋|蓋; 目蓋|futa; `ma``buta`|lid, cap; eyelid|futa:蓋,目蓋
真|真偽; 真; 真理; 真実; 真ん中; 真っ赤; 真っ青; 真面目; 真空; 真珠; 写真; 真っ直ぐ; 真相; 真剣; 真似|`shin``gi`; makoto; `shin``ri`; `shin``jitsu`; `ma`n`naka`; `mak``ka`; `mas`s`ao`; `ma``ji``me`; `shin``kuu`; `shin``ju`; `sha``shin`; `ma`s`su`gu; `shin``sou`; `shin``ken`; mane|truth or falsehood; true; truth; reality; right in the middle; completely red; completely blue; diligent; vacuum; pearl; picture; right ahead; truth, real situation; serious, earnest; imitation, acting like|shin:真偽,真理,真実,真空,真珠,写真,真相,真剣;makoto:真;ma:真ん中,真面目,真っ直ぐ;maxtsu:真っ赤,真っ青;mane:真似
偽|真偽; 偽る; 偽物; 偽造; 偽装; 虚偽|`shin``gi`; `itsuwa`ru; `nise``mono`; `gi``zou`; `gi``sou`; `kyo``gi`|truth or falsehood; to lie; fake; forgery; disguise; falsehood, misinformation, untruth|gi:真偽,偽造,偽装,虚偽;itsuwa:偽る;nise:偽物
赤|真っ赤; 赤ん坊|`mak``ka`; `aka`n`bou`|completely red; baby|ka:真っ赤;aka:赤ん坊
青|真っ青; 青い; 青菜; 緑青; 青春; 青年; 青白い|`mas`s`ao`; `ao`i; `ao``na`; `roku``shou`; `sei``shun` or `ao``haru`; `sei``nen`; `ao``jiro`i|completely blue; blue, green; green vegetables; copper (green) rust; youth; young man; pale (like you've seen a ghost), blue-ish white|ao:真っ青,青い,青菜,青春,青白い;shou:緑青;sei:青春,青年
酒|日本酒|`ni``hon``shu`|japanese sake|shu:日本酒
累|累進; 累計|`rui``shin`; `rui``kei`|gradual progression, rising step by step; cumulative/accumulated total|rui:累進,累計
課|課する; 課税; 課長; 日課; 課題; 放課後|`ka`suru; `ka``zei`; `ka``chou`; `nik``ka`; `ka``dai`; `hou``ka``go`|to impose/levy (a tax/fine); taxation; section chief/manager; daily routine; assignment, subject/theme/issue; after school|ka:課する,課税,課長,日課,課題,放課後
題|課題; 宿題; 問題児; 例題|`ka``dai`; `shuku``dai`; `mon``dai``ji`; `rei``dai`|assignment, subject/theme/issue; homework; problem child; example (exercise for the reader)|dai:課題,宿題,問題児,例題
放|放す; 放つ; 放れる; 放る; 民放; 放課後; 開放; 放任; 放任主義; 放免; 放射|`hana`su; `hana`tsu; `hana`reru; `hou`ru; `min``pou`; `hou``ka``go`; `kai``hou`; `hou``nin`; `hou``nin``shu``gi`; `hou``men`; `hou``sha`|to release; to let go, to fire; to get free of; to throw (away); commercial broadcast (short for minkan housou); after school; release; non-interference; principle of laissez-faire; release (from custody), discharge; radiation, emission|hana:放す,放つ,放れる;hou:放る,民放,放課後,開放,放任,放任主義,放免,放射
請|請ける; 下請け; 請う|`u`keru; `shita``u`ke; `ko`u|to take on (e.g. work for money); subcontract; to beg/ask/request for something|u:請ける,下請け;ko:請う
挟|挟む; 挟撃|`hasa`mu; `kyou``geki`|to put between; attack from both sides (pincer)|hasa:挟む;kyou:挟撃
撃|挟撃; 撃つ; 打撃; 反撃; 迎撃; 斬撃; 各個撃破; 砲撃; 追撃; 狙撃; 射撃; 攻撃|`kyou``geki`; `u`tsu; `da``geki`; `han``geki`; `gei``kei`; `zan``geki`; `kak``ko``geki``ha`; `hou``geki`; `tsui``geki`; `so``geki`; `sha``geki`; `kou``geki`|attack from both sides (pincer); shoot at, attack; blow, shock, batting (baseball); counterattack; intercept; slash; defeating opponents one by one, piecemeal defeat; bombardment; pursuing attack; sniping; firing, shooting; to attack|geki:挟撃,打撃,反撃,斬撃,各個撃破,砲撃,追撃,狙撃,射撃,攻撃;u:撃つ;kei:迎撃
店|閉店; 店; 売店; 支店; 露店; 喫茶店; 書店|`hei``ten`; mise; `bai``ten`; `shi``ten`; `ro``ten`; `kis``sa``ten`; `sho``ten`|close shop; store; stand, kiosk, stall; branch office; street stall; coffee shop; bookstore|ten:閉店,売店,支店,露店,喫茶店,書店;mise:店
務|務める; 事務; 事務所; 義務; 職務; 執務; 執務室; 勤務; 国務省; 債務; 債務者; 外務省|`tsuto`meru; `ji``mu`; `ji``mu``sho`; `gi``mu`; `shoku``mu`; `shitsu``mu`; `shitsu``mu``shitsu`; `kin``mu`; `koku``mu``shou`; `sai``mu`; `sai``mu``sha`; `gai``mu``shou`|to work (as); business/office work; office; obligation, duty; professional duties; (performance of) one's official duties; (physical) office (of a president, emperor, etc.); service, duty, work; State Department; legal or contractual obligations to a person/party, debt, liabilities; debtor; Ministry of Foreign Affairs|tsuto:務める;mu:事務,事務所,義務,職務,執務,執務室,勤務,国務省,債務,債務者,外務省
錦|錦; 錦を飾る|nishiki; `nishiki` wo `kaza`ru|fine dress; to return home loaded with honors|nishiki:錦,錦を飾る
飾|飾る; 錦を飾る; 装飾; 着飾る|`kaza`ru; `nishiki` wo `kaza`ru; `sou``shoku`; `ki``kaza`ru|decorate; to return home loaded with honors; ornament; to dress up|kaza:飾る,錦を飾る,着飾る;shoku:装飾
最|最寄り; 最も; 最近; 最深; 最期; 最後尾; 最新鋭; 最低; 最適; 最早|`mo``yori`; `motto`mo; `sai``kin`; `sai``shin`; `sai``go`; `sai``kou``bi`; `sai``shin``ei`; `sai``tei`; `sai``teki`; `mo``haya`|nearest; most; most recent; deepest; one's last moment/time of death; the end of the line (e.g. please go to the end of the line); state of the art, cutting edge; the worst, the minimum; most suitable, optimum; already, now, no longer, not anymore|mo:最寄り,最早;motto:最も;sai:最近,最深,最期,最後尾,最新鋭,最低,最適
軍|軍隊; 将軍; 軍縮; 十字軍|`gun``tai`; `shou``gun`; `gun``shuku`; `juu``ji``gun`|military, armed forces; general; disarmament, limitation of arms; the Crusades|gun:軍隊,将軍,軍縮,十字軍
隊|軍隊; 部隊; 兵隊; 特攻隊|`gun``tai`; `bu``tai`; `hei``tai`; `tok``kou``tai`|military, armed forces; force, unit, squad; armed forces; special attack unit, kamikaze unit, suicide squad|tai:軍隊,部隊,兵隊,特攻隊
願|願う; 願書; 念願; 願望; 出願; 祈願; 志願|`nega`u; `gan``sho`; `nen``gan`; `gan``bou`; `shutsu``gan`; `ki``gan`; `shi``gan`|to request; application (form); one's heart's desire; desire, wish, aspiration; application (for a service/subscription); prayer, supplication; suru: aspiring, volunteering, desiring|nega:願う;gan:願書,念願,願望,出願,祈願,志願
具|敬具; 道具; 家具; 器具; 絵具; 文房具|`kei``gu`; `dou``gu`; `ka``gu`; `ki``gu`; `e`no`gu`; `bun``bou``gu`|Sincerely yours, (closing a letter); tool; furniture; utensil; paint, coloring materials; stationary|gu:敬具,道具,家具,器具,絵具,文房具
絵|絵具; 絵画|`e`no`gu`; `kai``ga`|paint, coloring materials; painting, picture|e:絵具;kai:絵画
泉|泉|izumi|spring|izumi:泉
配|配慮; 配る; 気配; 手配; 心配; 配達; 分配; 年配; 支配; 采配; 配給; 配剤; 天の配剤|`hai``ryo`; `kuba`ru; `ke``hai`; `te``hai`; `shin``pai`; `hai``tatsu`; `bun``pai`; `nen``pai`; `shi``hai`; `sai``hai`; `hai``kyuu`; `hai``zai`; `ten`no`hai``zai`|suru: to give consideration/attention to; distribute; indication, presence; arrangements, preparations; worry, concern; delivery; division, splitting, sharing; elderly; domination, rule; baton (of command), command, order; distribution, rationing (of food, gas); dispencing (medicine); a gift from heaven, providence|hai:配慮,気配,手配,心配,配達,分配,年配,支配,采配,配給,配剤,天の配剤;kuba:配る
慮|配慮; 遠慮|`hai``ryo`; `en``ryo`|suru: to give consideration/attention to; reserve, constraint, holding back, modesty|ryo:配慮,遠慮
巾|布巾; 頭巾; 雑巾|`fu``kin`; `zu``kin`; `zou``kin`|tea towl, dishcloth; hood, kerchief; rag, house-cloth|kin:布巾,頭巾,雑巾
憲|憲法; 違憲; 立憲|`ken``pou`; `i``ken`; `rik``ken`|constitution; unconstitutionality; constitutionalism|ken:憲法,違憲,立憲
法|憲法; 司法; 法令|`ken``pou`; `shi``hou`; `hou``rei`|constitution; administration of justice; statute, law, regulation|hou:憲法,司法,法令
立|立憲; 立派; 立候補; 擁立; 立ち上がる; 独立; 成り立ち; 成立; 役立つ|`rik``ken`; `rip``pa`; `rik``kou``ho`; `you``ritsu`; `ta`chi`a`garu; `doku``ritsu`; `na`ri`ta`chi; `sei``ritsu`; `yaku``da`tsu|constitutionalism; splendid, praiseworthy; to announce candidacy/becoming a candidate; backing (for a position), support; to rise up, to stand up and take action; independence; the way something came into existence / came about, origin; to be established / founded; to be useful/helpful|rixtsu:立憲,立派,立候補;ritsu:擁立,独立,成立;ta:立ち上がる,成り立ち,役立つ
政|政治; 行政; 財政; 財政難; 国政; 政党; 政権; 暫定政権; 政庁|`sei``ji`; `gyou``sei`; `zai``sei`; `zai``sei``nan`; `koku``sei`; `sei``tou`; `sei``ken`; `zan``tei``sei``ken`; `sei``chou`|politics, government; administration; public finance, financial affairs; economic difficulties; national politics; political party; (political) administration, political power; provisional government; government office|sei:政治,行政,財政,財政難,国政,政党,政権,暫定政権,政庁
治|政治; 治る; 治める; 自治; 明治; 退治; 統治; 全治; 治癒; 治世|`sei``ji`; `nao`ru; `osa`meru; `ji``chi`; `mei``ji`; `tai``ji`; `tou``chi`; `zen``chi`; `chi``yu`; `chi``sei`|politics, government; to be cured, to get well; to govern, to manage; self-government, autonomy; Meiji; exterminate (e.g. pests, bandits); suru: to rule, reign, govern; a complete recovery (全治十年 = 10 years for complete recovery); suru: to cure, to heal; rule, reign, peaceful times|ji:政治,明治,退治;nao:治る;osa:治める;chi:自治,統治,全治,治癒,治世
