鳥|鳥の巣; 野鳥|`tori` no `su`; `ya``chou`|bird's nest; wild bird|tori:鳥の巣;chou:野鳥
摩|摩る; 摩擦; 摩耗; あん摩; 貿易摩擦; 摩天楼|`sasu`ru; `ma``satsu`; `ma``mou`; an`ma`; `bou``eki``ma``satsu`; `ma``ten``rou`|to rub, pat, stroke, massage; friction, rubbing, discord; wear, abrasion; massage (esp. traditional japanese style); trade friction; skyscraper|sasu:摩る;ma:摩擦,摩耗,あん摩,貿易摩擦,摩天楼
擦|擦る; 擦り傷; 摩擦; 貿易摩擦|`kosu`ru; `su`ri`kizu`; `ma``satsu`; `bou``eki``ma``satsu`|to rub, scrub, scrape; graze, scratch, scrape; friction, rubbing, discord; trade friction|kosu:擦る;su:擦り傷;satsu:摩擦,貿易摩擦
貿|貿易; 貿易摩擦|`bou``eki`; `bou``eki``ma``satsu`|trade (foreign), international commerce; trade friction|bou:貿易,貿易摩擦
祈|祈る; 祈念; 祈願|`ino`ru; `ki``nen`; `ki``gan`|to pray; prayer; prayer, supplication|ino:祈る;ki:祈念,祈願
視|無視; 視覚的; 重視; 視点; 監視; 視野; 近視; 凝視; 直視; 視察|`mu``shi`; `shi``kaku``teki`; `juu``shi`; `shi``ten`; `kan``shi`; `shi``ya`; `kin``shi`; `gyou``shi`; `choku``shi`; `shi``satsu`|ignore, disregard; visual; importance, stress, serious consideration; point of view, opinion; monitoring, watching; field of vision, outlook; myopia, short-sighted; stare, gaze, fixate; taking a straight look at something, looking someone straight in the eyes; to inspect|shi:無視,視覚的,重視,視点,監視,視野,近視,凝視,直視,視察
半|半島; 朝鮮半島; 半端; 中途半端|`han``tou`; `chou``sen``han``tou`; `han``pa`; `chuu``to``han``pa`|penninsula; korean peninsula; fragment, incomplete, fraction; half-baked, unfinished|han:半島,朝鮮半島,半端,中途半端
鮮|鮮やか; 新鮮; 朝鮮; 鮮明; 朝鮮半島|`aza`yaka; `shin``sen`; `chou``sen`; `sen``mei`; `chou``sen``han``tou`|bright; fresh; Korea (usually pre-korean war / north korea); vivid, clear; korean peninsula|aza:鮮やか;sen:新鮮,朝鮮,鮮明,朝鮮半島
埋|埋める; 埋葬; 埋没; 埋蔵|`u`meru; `mai``sou`; `mai``botsu`; `mai``zou`|to bury; burial; suru: being buried; burying in the ground|u:埋める;mai:埋葬,埋没,埋蔵
没|没する; 没収; 日没; 没落; 埋没|`bos`suru; `bos``shuu`; `nichi``botsu`; `botsu``raku`; `mai``botsu`|to confiscate, to vanish; to confiscate; sunset; ruin, fall, collapse; suru: being buried|boxtsu:没する,没収;botsu:日没,没落,埋没
咲|咲く|`sa`ku|to bloom|sa:咲く
